Name;Station;Time(norwegian mean time);Mean global radiation (1 t);Mean longwave radiation (1 h)
Janssonhaugen Vest;SN99874;01.10.2019 01:00;0;285.76
Janssonhaugen Vest;SN99874;01.10.2019 02:00;0;287.48
Janssonhaugen Vest;SN99874;01.10.2019 03:00;0;288.91
Janssonhaugen Vest;SN99874;01.10.2019 04:00;0;290.24
Janssonhaugen Vest;SN99874;01.10.2019 05:00;0;289.83
Janssonhaugen Vest;SN99874;01.10.2019 06:00;0;289.83
Janssonhaugen Vest;SN99874;01.10.2019 07:00;3.43;290.05
Janssonhaugen Vest;SN99874;01.10.2019 08:00;13.05;290.72
Janssonhaugen Vest;SN99874;01.10.2019 09:00;29.67;291.41
Janssonhaugen Vest;SN99874;01.10.2019 10:00;48.06;291.43
Janssonhaugen Vest;SN99874;01.10.2019 11:00;56.87;291.35
Janssonhaugen Vest;SN99874;01.10.2019 12:00;62.73;289.86
Janssonhaugen Vest;SN99874;01.10.2019 13:00;87.84;279.58
Janssonhaugen Vest;SN99874;01.10.2019 14:00;71.41;276.2
Janssonhaugen Vest;SN99874;01.10.2019 15:00;73.09;271.85
Janssonhaugen Vest;SN99874;01.10.2019 16:00;47.21;269.25
Janssonhaugen Vest;SN99874;01.10.2019 17:00;7.91;264.5
Janssonhaugen Vest;SN99874;01.10.2019 18:00;0;265.31
Janssonhaugen Vest;SN99874;01.10.2019 19:00;0;271.81
Janssonhaugen Vest;SN99874;01.10.2019 20:00;0;277.99
Janssonhaugen Vest;SN99874;01.10.2019 21:00;0;281.01
Janssonhaugen Vest;SN99874;01.10.2019 22:00;0;276.74
Janssonhaugen Vest;SN99874;01.10.2019 23:00;0;266.94
Janssonhaugen Vest;SN99874;02.10.2019 00:00;0;267.46
Janssonhaugen Vest;SN99874;02.10.2019 01:00;0;267.05
Janssonhaugen Vest;SN99874;02.10.2019 02:00;0;268.29
Janssonhaugen Vest;SN99874;02.10.2019 03:00;0;279.47
Janssonhaugen Vest;SN99874;02.10.2019 04:00;0;285.78
Janssonhaugen Vest;SN99874;02.10.2019 05:00;0;287.75
Janssonhaugen Vest;SN99874;02.10.2019 06:00;0;289.59
Janssonhaugen Vest;SN99874;02.10.2019 07:00;1.18;290.17
Janssonhaugen Vest;SN99874;02.10.2019 08:00;10.04;289.87
Janssonhaugen Vest;SN99874;02.10.2019 09:00;23.77;291.34
Janssonhaugen Vest;SN99874;02.10.2019 10:00;34.92;292.85
Janssonhaugen Vest;SN99874;02.10.2019 11:00;38.61;294.24
Janssonhaugen Vest;SN99874;02.10.2019 12:00;43.98;295.18
Janssonhaugen Vest;SN99874;02.10.2019 13:00;40.38;296
Janssonhaugen Vest;SN99874;02.10.2019 14:00;31.32;296.9
Janssonhaugen Vest;SN99874;02.10.2019 15:00;24.08;297.27
Janssonhaugen Vest;SN99874;02.10.2019 16:00;13.32;297.9
Janssonhaugen Vest;SN99874;02.10.2019 17:00;4.36;297.82
Janssonhaugen Vest;SN99874;02.10.2019 18:00;0;297.37
Janssonhaugen Vest;SN99874;02.10.2019 19:00;0;297.78
Janssonhaugen Vest;SN99874;02.10.2019 20:00;0;297.99
Janssonhaugen Vest;SN99874;02.10.2019 21:00;0;298.8
Janssonhaugen Vest;SN99874;02.10.2019 22:00;0;299.86
Janssonhaugen Vest;SN99874;02.10.2019 23:00;0;300.71
Janssonhaugen Vest;SN99874;03.10.2019 00:00;0;301.19
Janssonhaugen Vest;SN99874;03.10.2019 01:00;0;301.67
Janssonhaugen Vest;SN99874;03.10.2019 02:00;0;301.17
Janssonhaugen Vest;SN99874;03.10.2019 03:00;0;301.54
Janssonhaugen Vest;SN99874;03.10.2019 04:00;0;302.6
Janssonhaugen Vest;SN99874;03.10.2019 05:00;0;302.45
Janssonhaugen Vest;SN99874;03.10.2019 06:00;0;302.14
Janssonhaugen Vest;SN99874;03.10.2019 07:00;1.85;300.96
Janssonhaugen Vest;SN99874;03.10.2019 08:00;11.07;304.58
