Name;Station;Time(norwegian mean time);Air temperature;Relative air humidity;Precipitation (1 h);Mean wind speed
Svalbard Lufthavn;SN99840;01.10.2019 01:00;-1.5;68;0;6.3
Svalbard Lufthavn;SN99840;01.10.2019 02:00;-2.3;78;0;5.9
Svalbard Lufthavn;SN99840;01.10.2019 03:00;-2.6;72;0;6.3
Svalbard Lufthavn;SN99840;01.10.2019 04:00;-2.5;72;0;7.9
Svalbard Lufthavn;SN99840;01.10.2019 05:00;-2.2;68;0;6.7
Svalbard Lufthavn;SN99840;01.10.2019 06:00;-1.8;67;0;5.2
Svalbard Lufthavn;SN99840;01.10.2019 07:00;-1.8;67;0;4.2
Svalbard Lufthavn;SN99840;01.10.2019 08:00;-2;69;0;4.2
Svalbard Lufthavn;SN99840;01.10.2019 09:00;-2.2;70;0;3.9
Svalbard Lufthavn;SN99840;01.10.2019 10:00;-2.9;69;0;4.2
Svalbard Lufthavn;SN99840;01.10.2019 11:00;-3.6;71;0;3.7
Svalbard Lufthavn;SN99840;01.10.2019 12:00;-3.6;69;0;3.8
Svalbard Lufthavn;SN99840;01.10.2019 13:00;-3.6;69;0;3.1
Svalbard Lufthavn;SN99840;01.10.2019 14:00;-3.8;70;0;2.3
Svalbard Lufthavn;SN99840;01.10.2019 15:00;-4.2;72;0;2.1
Svalbard Lufthavn;SN99840;01.10.2019 16:00;-4.1;71;0;1.9
Svalbard Lufthavn;SN99840;01.10.2019 17:00;-4.4;72;0;2.1
Svalbard Lufthavn;SN99840;01.10.2019 18:00;-4.3;78;0;1.7
Svalbard Lufthavn;SN99840;01.10.2019 19:00;-4.8;78;0;2.7
Svalbard Lufthavn;SN99840;01.10.2019 20:00;-5;78;0;2.6
Svalbard Lufthavn;SN99840;01.10.2019 21:00;-5.2;79;0;3.3
Svalbard Lufthavn;SN99840;01.10.2019 22:00;-5.1;82;0;3.7
Svalbard Lufthavn;SN99840;01.10.2019 23:00;-5.1;79;0;3.7
Svalbard Lufthavn;SN99840;02.10.2019 00:00;-5.6;82;0;1.4
Svalbard Lufthavn;SN99840;02.10.2019 01:00;-5.6;81;0;2.8
Svalbard Lufthavn;SN99840;02.10.2019 02:00;-4.7;82;0;4.4
Svalbard Lufthavn;SN99840;02.10.2019 03:00;-4.1;81;0;5.2
Svalbard Lufthavn;SN99840;02.10.2019 04:00;-4.1;83;0;4
Svalbard Lufthavn;SN99840;02.10.2019 05:00;-2.9;78;0;3.7
Svalbard Lufthavn;SN99840;02.10.2019 06:00;-2.6;79;0;2.1
Svalbard Lufthavn;SN99840;02.10.2019 07:00;-2.5;82;0;2.1
Svalbard Lufthavn;SN99840;02.10.2019 08:00;-2.3;81;0;1.8
Svalbard Lufthavn;SN99840;02.10.2019 09:00;-2;84;0;2.2
Svalbard Lufthavn;SN99840;02.10.2019 10:00;-1.8;82;0;1.7
Svalbard Lufthavn;SN99840;02.10.2019 11:00;-1.3;81;0;3.4
Svalbard Lufthavn;SN99840;02.10.2019 12:00;-1.7;82;0;2.8
Svalbard Lufthavn;SN99840;02.10.2019 13:00;-0.6;78;0;1.1
Svalbard Lufthavn;SN99840;02.10.2019 14:00;-0.7;83;0;4.1
Svalbard Lufthavn;SN99840;02.10.2019 15:00;-0.2;83;0;5.9
Svalbard Lufthavn;SN99840;02.10.2019 16:00;-0.4;84;0;2.3
Svalbard Lufthavn;SN99840;02.10.2019 17:00;-0.5;84;0;2
Svalbard Lufthavn;SN99840;02.10.2019 18:00;-0.4;80;0;2.4
Svalbard Lufthavn;SN99840;02.10.2019 19:00;-0.5;84;0;2.8
Svalbard Lufthavn;SN99840;02.10.2019 20:00;-0.1;83;0;3.5
Svalbard Lufthavn;SN99840;02.10.2019 21:00;-0.3;80;0;2.5
Svalbard Lufthavn;SN99840;02.10.2019 22:00;1.8;76;0;4.6
Svalbard Lufthavn;SN99840;02.10.2019 23:00;-0.1;83;0;3.4
Svalbard Lufthavn;SN99840;03.10.2019 00:00;1.2;78;0;4.4
